run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms-1pct-batch4,50.226,51.482,101.741,ok
2,X25519,x25519,50ms-1pct-batch4,50.285,51.432,101.755,ok
3,X25519,x25519,50ms-1pct-batch4,50.589,51.383,102.010,ok
4,X25519,x25519,50ms-1pct-batch4,50.201,51.937,102.184,ok
5,X25519,x25519,50ms-1pct-batch4,50.305,51.680,102.037,ok
6,X25519,x25519,50ms-1pct-batch4,50.136,51.429,101.597,ok
7,X25519,x25519,50ms-1pct-batch4,50.126,51.414,101.586,ok
8,X25519,x25519,50ms-1pct-batch4,50.212,70.316,120.604,ok
9,X25519,x25519,50ms-1pct-batch4,50.139,51.633,101.804,ok
10,X25519,x25519,50ms-1pct-batch4,50.151,51.480,101.672,ok
11,X25519,x25519,50ms-1pct-batch4,50.128,51.972,102.134,ok
12,X25519,x25519,50ms-1pct-batch4,50.156,51.561,101.752,ok
13,X25519,x25519,50ms-1pct-batch4,50.136,51.365,101.537,ok
14,X25519,x25519,50ms-1pct-batch4,50.207,51.568,101.812,ok
15,X25519,x25519,50ms-1pct-batch4,50.133,51.451,101.617,ok
16,X25519,x25519,50ms-1pct-batch4,50.212,51.499,101.747,ok
17,X25519,x25519,50ms-1pct-batch4,50.147,51.489,101.670,ok
18,X25519,x25519,50ms-1pct-batch4,50.476,51.417,101.927,ok
19,X25519,x25519,50ms-1pct-batch4,50.792,51.410,102.238,ok
20,X25519,x25519,50ms-1pct-batch4,50.165,51.645,101.844,ok
21,X25519,x25519,50ms-1pct-batch4,50.398,51.467,101.906,ok
22,X25519,x25519,50ms-1pct-batch4,50.299,51.458,101.798,ok
23,X25519,x25519,50ms-1pct-batch4,50.130,319.766,369.941,ok
24,X25519,x25519,50ms-1pct-batch4,50.226,51.585,101.851,ok
25,X25519,x25519,50ms-1pct-batch4,50.427,51.416,101.893,ok
26,X25519,x25519,50ms-1pct-batch4,50.130,51.484,101.650,ok
27,X25519,x25519,50ms-1pct-batch4,50.147,51.410,101.615,ok
28,X25519,x25519,50ms-1pct-batch4,50.179,51.770,101.987,ok
29,X25519,x25519,50ms-1pct-batch4,50.168,334.011,384.218,ok
30,X25519,x25519,50ms-1pct-batch4,50.130,51.328,101.499,ok
31,X25519,x25519,50ms-1pct-batch4,50.196,51.418,101.645,ok
32,X25519,x25519,50ms-1pct-batch4,50.144,52.100,102.276,ok
33,X25519,x25519,50ms-1pct-batch4,50.173,51.844,102.062,ok
34,X25519,x25519,50ms-1pct-batch4,50.138,51.316,101.489,ok
35,X25519,x25519,50ms-1pct-batch4,50.331,51.320,101.682,ok
36,X25519,x25519,50ms-1pct-batch4,50.304,51.405,101.744,ok
37,X25519,x25519,50ms-1pct-batch4,50.354,51.572,101.974,ok
38,X25519,x25519,50ms-1pct-batch4,50.161,51.811,102.008,ok
