run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.105,51.992,102.133,ok
2,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.277,51.612,101.968,ok
3,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.176,51.675,101.883,ok
4,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.290,51.746,102.096,ok
5,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.105,51.838,101.973,ok
6,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.125,51.575,101.730,ok
7,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.206,51.593,101.833,ok
8,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.403,51.527,101.970,ok
9,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.114,51.454,101.601,ok
10,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.142,51.631,101.808,ok
11,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.195,51.546,101.770,ok
12,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.225,51.502,101.763,ok
13,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.104,51.465,101.604,ok
14,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.148,51.425,101.606,ok
15,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.136,51.459,101.629,ok
16,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.147,51.669,101.852,ok
17,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.138,51.495,101.666,ok
18,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.114,51.472,101.623,ok
19,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.117,51.557,101.708,ok
20,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.125,51.463,101.622,ok
21,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.175,51.486,101.689,ok
22,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.185,51.644,101.862,ok
23,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.182,51.507,101.720,ok
24,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,1075.460,51.516,1127.012,ok
25,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.223,51.506,101.764,ok
26,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.126,51.629,101.789,ok
27,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.145,51.512,101.687,ok
28,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.209,51.763,102.015,ok
29,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.157,51.555,101.743,ok
30,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.129,51.468,101.627,ok
31,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.143,51.514,101.691,ok
32,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.231,51.497,101.762,ok
33,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.173,51.483,101.686,ok
34,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.118,51.431,101.579,ok
35,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.100,70.266,120.401,ok
36,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch4,50.105,51.600,101.736,ok
