run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.175,51.860,102.068,ok
2,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.663,53.811,104.530,ok
3,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.523,52.013,102.590,ok
4,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.202,51.677,101.913,ok
5,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.306,51.925,102.265,ok
6,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,1068.113,51.620,1119.793,ok
7,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.221,51.615,101.879,ok
8,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.170,51.697,101.901,ok
9,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.265,51.667,101.980,ok
10,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.225,51.668,101.987,ok
11,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.226,51.871,102.159,ok
12,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.231,51.901,102.173,ok
13,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.170,51.593,101.792,ok
14,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.171,52.912,103.118,ok
15,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.539,51.671,102.270,ok
16,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,1069.473,51.482,1120.987,ok
17,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.193,51.479,101.701,ok
18,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.162,51.692,101.889,ok
19,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.143,51.522,101.702,ok
20,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.200,51.724,101.954,ok
21,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.159,51.535,101.729,ok
22,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.127,51.498,101.658,ok
23,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.179,51.729,101.940,ok
24,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.161,51.620,101.820,ok
25,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.210,51.619,101.866,ok
26,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.139,51.822,101.994,ok
27,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.785,52.680,103.497,ok
28,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.157,51.766,101.960,ok
29,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.179,51.571,101.791,ok
30,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.147,51.671,101.847,ok
31,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.166,51.559,101.768,ok
32,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.255,52.645,102.941,ok
33,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.259,51.921,102.219,ok
34,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.153,51.702,101.888,ok
35,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.160,51.518,101.720,ok
36,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.147,51.597,101.780,ok
37,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.258,51.466,101.766,ok
38,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.170,51.502,101.718,ok
39,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.156,51.587,101.810,ok
40,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.176,51.570,101.783,ok
41,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.183,303.732,353.949,ok
42,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.162,206.746,256.937,ok
43,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.198,51.716,101.946,ok
44,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.142,51.539,101.715,ok
45,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.204,51.502,101.739,ok
46,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.223,51.617,101.878,ok
47,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.171,51.550,101.757,ok
48,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.150,51.465,101.650,ok
49,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.204,51.628,101.868,ok
50,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.162,51.677,101.879,ok
51,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.168,51.620,101.823,ok
52,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch3,50.250,51.756,102.040,ok
