run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms-1pct-batch3,50.202,51.953,102.185,ok
2,X25519,x25519,50ms-1pct-batch3,50.417,52.050,102.524,ok
3,X25519,x25519,50ms-1pct-batch3,51.388,53.251,104.676,ok
4,X25519,x25519,50ms-1pct-batch3,50.291,51.302,101.625,ok
5,X25519,x25519,50ms-1pct-batch3,50.220,51.610,101.860,ok
6,X25519,x25519,50ms-1pct-batch3,50.352,51.994,102.383,ok
7,X25519,x25519,50ms-1pct-batch3,50.441,51.325,101.801,ok
8,X25519,x25519,50ms-1pct-batch3,50.253,52.014,102.297,ok
9,X25519,x25519,50ms-1pct-batch3,50.220,52.175,102.432,ok
10,X25519,x25519,50ms-1pct-batch3,50.212,51.353,101.595,ok
11,X25519,x25519,50ms-1pct-batch3,50.204,52.393,102.641,ok
12,X25519,x25519,50ms-1pct-batch3,50.477,308.961,359.508,ok
13,X25519,x25519,50ms-1pct-batch3,50.487,52.192,102.724,ok
14,X25519,x25519,50ms-1pct-batch3,50.486,51.830,102.361,ok
15,X25519,x25519,50ms-1pct-batch3,50.321,51.499,101.858,ok
16,X25519,x25519,50ms-1pct-batch3,50.233,52.217,102.483,ok
17,X25519,x25519,50ms-1pct-batch3,50.485,66.103,116.629,ok
18,X25519,x25519,50ms-1pct-batch3,50.399,51.592,102.036,ok
19,X25519,x25519,50ms-1pct-batch3,50.501,51.828,102.378,ok
20,X25519,x25519,50ms-1pct-batch3,50.502,52.144,102.694,ok
21,X25519,x25519,50ms-1pct-batch3,1069.823,61.768,1131.626,ok
22,X25519,x25519,50ms-1pct-batch3,50.181,51.590,101.812,ok
23,X25519,x25519,50ms-1pct-batch3,50.341,52.082,102.458,ok
24,X25519,x25519,50ms-1pct-batch3,50.215,51.334,101.576,ok
25,X25519,x25519,50ms-1pct-batch3,50.237,51.400,101.673,ok
26,X25519,x25519,50ms-1pct-batch3,50.208,51.586,101.826,ok
27,X25519,x25519,50ms-1pct-batch3,50.343,51.334,101.724,ok
28,X25519,x25519,50ms-1pct-batch3,50.140,51.551,101.724,ok
29,X25519,x25519,50ms-1pct-batch3,50.266,329.236,379.539,ok
30,X25519,x25519,50ms-1pct-batch3,50.190,51.417,101.641,ok
31,X25519,x25519,50ms-1pct-batch3,50.114,51.338,101.482,ok
32,X25519,x25519,50ms-1pct-batch3,50.102,51.426,101.572,ok
33,X25519,x25519,50ms-1pct-batch3,50.117,51.434,101.588,ok
34,X25519,x25519,50ms-1pct-batch3,50.216,51.682,101.941,ok
35,X25519,x25519,50ms-1pct-batch3,50.095,51.381,101.507,ok
36,X25519,x25519,50ms-1pct-batch3,50.122,51.460,101.626,ok
