run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
65,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.175,51.677,101.887,ok
66,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.117,52.260,102.409,ok
67,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.181,51.560,101.772,ok
68,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.859,51.554,102.447,ok
69,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.115,51.606,101.754,ok
70,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.106,51.530,101.672,ok
71,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.372,51.645,102.059,ok
72,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.258,51.746,102.038,ok
73,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.306,51.630,101.977,ok
74,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.135,51.762,101.932,ok
75,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.279,52.006,102.320,ok
76,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.194,51.487,101.722,ok
77,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.275,51.605,101.922,ok
78,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.165,51.712,101.913,ok
79,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.200,51.454,101.686,ok
80,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.166,51.668,101.868,ok
81,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.127,51.924,102.084,ok
82,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.200,208.401,258.635,ok
83,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.215,51.816,102.070,ok
84,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.125,52.091,102.244,ok
85,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.176,51.655,101.864,ok
86,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.138,52.152,102.323,ok
