run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.263,51.545,101.838,ok
2,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.145,51.565,101.747,ok
3,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.242,209.658,259.938,ok
4,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.189,51.711,101.943,ok
5,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.201,51.638,101.927,ok
6,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.151,51.703,101.929,ok
7,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.227,51.847,102.114,ok
8,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.241,51.975,102.254,ok
9,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.305,51.752,102.096,ok
10,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.244,51.628,101.911,ok
11,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.306,51.544,101.883,ok
12,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.224,51.601,101.860,ok
13,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.341,51.642,102.024,ok
14,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.158,51.687,101.876,ok
15,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.429,51.754,102.250,ok
16,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.195,51.737,101.975,ok
17,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.246,51.546,101.822,ok
18,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.161,52.003,102.199,ok
19,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.318,51.712,102.065,ok
20,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.122,51.790,101.945,ok
21,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.140,51.590,101.765,ok
22,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.175,70.839,121.050,ok
23,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.149,51.676,101.868,ok
24,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.115,51.738,101.894,ok
25,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.348,51.736,102.118,ok
26,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.149,52.200,102.392,ok
27,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.158,51.560,101.754,ok
28,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.150,52.281,102.555,ok
29,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.268,51.546,101.855,ok
30,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,1080.279,51.757,1132.072,ok
31,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.306,51.712,102.056,ok
32,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.328,51.773,102.149,ok
33,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,1051.616,52.044,1103.695,ok
34,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.377,51.899,102.309,ok
35,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.177,51.552,101.764,ok
36,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.294,51.850,102.178,ok
37,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.248,52.455,102.742,ok
38,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.349,51.598,101.978,ok
39,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.142,303.837,354.013,ok
40,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.326,52.127,102.488,ok
41,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.254,51.692,101.995,ok
42,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.184,51.658,101.881,ok
43,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.130,51.876,102.036,ok
44,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.225,52.062,102.324,ok
45,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.259,51.931,102.229,ok
46,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.143,51.964,102.147,ok
47,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.204,51.802,102.045,ok
48,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.276,51.818,102.135,ok
49,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch5,50.300,52.309,102.646,ok
