run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms-1pct-batch2,1066.057,52.279,1118.367,ok
2,X25519,x25519,50ms-1pct-batch2,50.452,52.241,102.731,ok
3,X25519,x25519,50ms-1pct-batch2,50.639,52.358,103.047,ok
4,X25519,x25519,50ms-1pct-batch2,50.429,52.303,102.771,ok
5,X25519,x25519,50ms-1pct-batch2,50.521,51.476,102.041,ok
6,X25519,x25519,50ms-1pct-batch2,50.225,51.418,101.694,ok
7,X25519,x25519,50ms-1pct-batch2,50.189,51.528,101.753,ok
8,X25519,x25519,50ms-1pct-batch2,50.195,51.394,101.622,ok
9,X25519,x25519,50ms-1pct-batch2,50.193,51.266,101.495,ok
10,X25519,x25519,50ms-1pct-batch2,50.294,51.826,102.156,ok
11,X25519,x25519,50ms-1pct-batch2,50.221,51.458,101.714,ok
12,X25519,x25519,50ms-1pct-batch2,50.730,51.437,102.208,ok
13,X25519,x25519,50ms-1pct-batch2,50.163,51.377,101.575,ok
14,X25519,x25519,50ms-1pct-batch2,50.182,51.435,101.651,ok
15,X25519,x25519,50ms-1pct-batch2,50.165,51.395,101.591,ok
16,X25519,x25519,50ms-1pct-batch2,50.123,51.476,101.640,ok
17,X25519,x25519,50ms-1pct-batch2,50.262,51.509,101.805,ok
18,X25519,x25519,50ms-1pct-batch2,50.142,51.317,101.491,ok
19,X25519,x25519,50ms-1pct-batch2,50.124,51.475,101.637,ok
20,X25519,x25519,50ms-1pct-batch2,50.247,51.509,101.787,ok
21,X25519,x25519,50ms-1pct-batch2,50.281,51.363,101.675,ok
22,X25519,x25519,50ms-1pct-batch2,50.123,51.469,101.630,ok
23,X25519,x25519,50ms-1pct-batch2,50.136,51.668,101.846,ok
24,X25519,x25519,50ms-1pct-batch2,50.277,51.455,101.785,ok
25,X25519,x25519,50ms-1pct-batch2,50.162,51.359,101.556,ok
26,X25519,x25519,50ms-1pct-batch2,50.219,51.487,101.746,ok
27,X25519,x25519,50ms-1pct-batch2,50.124,51.347,101.505,ok
28,X25519,x25519,50ms-1pct-batch2,50.140,51.559,101.734,ok
29,X25519,x25519,50ms-1pct-batch2,50.142,51.396,101.570,ok
30,X25519,x25519,50ms-1pct-batch2,50.216,51.429,101.677,ok
31,X25519,x25519,50ms-1pct-batch2,50.298,54.274,104.614,ok
32,X25519,x25519,50ms-1pct-batch2,50.191,54.812,105.038,ok
33,X25519,x25519,50ms-1pct-batch2,50.107,51.383,101.523,ok
34,X25519,x25519,50ms-1pct-batch2,50.103,51.395,101.530,ok
35,X25519,x25519,50ms-1pct-batch2,50.119,51.586,101.738,ok
36,X25519,x25519,50ms-1pct-batch2,50.219,51.607,101.862,ok
37,X25519,x25519,50ms-1pct-batch2,50.132,70.943,121.107,ok
38,X25519,x25519,50ms-1pct-batch2,50.120,303.204,353.356,ok
39,X25519,x25519,50ms-1pct-batch2,50.139,51.506,101.683,ok
40,X25519,x25519,50ms-1pct-batch2,50.110,51.396,101.538,ok
41,X25519,x25519,50ms-1pct-batch2,50.170,51.351,101.550,ok
42,X25519,x25519,50ms-1pct-batch2,50.196,51.358,101.599,ok
43,X25519,x25519,50ms-1pct-batch2,50.125,52.296,102.460,ok
44,X25519,x25519,50ms-1pct-batch2,50.100,51.420,101.558,ok
45,X25519,x25519,50ms-1pct-batch2,50.174,51.387,101.599,ok
46,X25519,x25519,50ms-1pct-batch2,50.094,51.673,101.799,ok
47,X25519,x25519,50ms-1pct-batch2,50.077,51.454,101.564,ok
48,X25519,x25519,50ms-1pct-batch2,50.135,51.170,101.342,ok
49,X25519,x25519,50ms-1pct-batch2,50.102,51.280,101.414,ok
50,X25519,x25519,50ms-1pct-batch2,50.190,51.333,101.554,ok
51,X25519,x25519,50ms-1pct-batch2,50.145,51.338,101.517,ok
52,X25519,x25519,50ms-1pct-batch2,50.110,51.339,101.478,ok
53,X25519,x25519,50ms-1pct-batch2,50.097,51.487,101.620,ok
54,X25519,x25519,50ms-1pct-batch2,50.079,51.453,101.564,ok
55,X25519,x25519,50ms-1pct-batch2,50.085,51.356,101.472,ok
56,X25519,x25519,50ms-1pct-batch2,50.165,51.273,101.470,ok
57,X25519,x25519,50ms-1pct-batch2,50.112,51.240,101.384,ok
58,X25519,x25519,50ms-1pct-batch2,50.129,51.413,101.574,ok
59,X25519,x25519,50ms-1pct-batch2,50.100,51.316,101.446,ok
60,X25519,x25519,50ms-1pct-batch2,50.109,51.482,101.623,ok
61,X25519,x25519,50ms-1pct-batch2,50.113,51.322,101.468,ok
