run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms-1pct-batch1,50.156,51.793,101.978,ok
2,X25519,x25519,50ms-1pct-batch1,51.796,51.481,103.308,ok
3,X25519,x25519,50ms-1pct-batch1,1071.034,51.383,1122.857,ok
4,X25519,x25519,50ms-1pct-batch1,50.143,51.464,101.639,ok
5,X25519,x25519,50ms-1pct-batch1,50.185,51.498,101.716,ok
6,X25519,x25519,50ms-1pct-batch1,50.347,51.984,102.384,ok
7,X25519,x25519,50ms-1pct-batch1,51.249,51.850,103.148,ok
8,X25519,x25519,50ms-1pct-batch1,50.246,52.056,102.335,ok
9,X25519,x25519,50ms-1pct-batch1,50.143,51.635,101.811,ok
10,X25519,x25519,50ms-1pct-batch1,50.200,51.922,102.159,ok
11,X25519,x25519,50ms-1pct-batch1,50.363,51.374,101.786,ok
12,X25519,x25519,50ms-1pct-batch1,50.158,51.374,101.566,ok
13,X25519,x25519,50ms-1pct-batch1,50.142,51.378,101.549,ok
14,X25519,x25519,50ms-1pct-batch1,50.142,51.506,101.683,ok
15,X25519,x25519,50ms-1pct-batch1,50.280,51.611,101.929,ok
16,X25519,x25519,50ms-1pct-batch1,50.277,51.504,101.822,ok
17,X25519,x25519,50ms-1pct-batch1,50.198,51.550,101.789,ok
18,X25519,x25519,50ms-1pct-batch1,50.194,52.325,102.559,ok
19,X25519,x25519,50ms-1pct-batch1,50.160,51.409,101.603,ok
20,X25519,x25519,50ms-1pct-batch1,50.307,51.947,102.300,ok
21,X25519,x25519,50ms-1pct-batch1,50.312,51.411,101.762,ok
22,X25519,x25519,50ms-1pct-batch1,50.192,51.301,101.526,ok
23,X25519,x25519,50ms-1pct-batch1,50.157,51.458,101.654,ok
24,X25519,x25519,50ms-1pct-batch1,50.126,51.418,101.577,ok
25,X25519,x25519,50ms-1pct-batch1,50.141,51.392,101.575,ok
26,X25519,x25519,50ms-1pct-batch1,50.129,51.470,101.629,ok
27,X25519,x25519,50ms-1pct-batch1,50.328,51.531,101.895,ok
28,X25519,x25519,50ms-1pct-batch1,50.324,51.743,102.102,ok
29,X25519,x25519,50ms-1pct-batch1,50.155,51.338,101.524,ok
30,X25519,x25519,50ms-1pct-batch1,50.132,51.427,101.586,ok
31,X25519,x25519,50ms-1pct-batch1,50.265,51.389,101.692,ok
32,X25519,x25519,50ms-1pct-batch1,50.491,51.685,102.213,ok
33,X25519,x25519,50ms-1pct-batch1,50.270,51.473,101.793,ok
34,X25519,x25519,50ms-1pct-batch1,50.253,51.346,101.638,ok
35,X25519,x25519,50ms-1pct-batch1,50.135,51.556,101.724,ok
36,X25519,x25519,50ms-1pct-batch1,50.197,51.523,101.754,ok
37,X25519,x25519,50ms-1pct-batch1,50.165,52.173,102.372,ok
38,X25519,x25519,50ms-1pct-batch1,50.134,52.728,102.955,ok
39,X25519,x25519,50ms-1pct-batch1,50.863,51.504,102.401,ok
40,X25519,x25519,50ms-1pct-batch1,50.319,51.312,101.660,ok
41,X25519,x25519,50ms-1pct-batch1,50.122,51.443,101.596,ok
42,X25519,x25519,50ms-1pct-batch1,50.267,51.475,101.772,ok
43,X25519,x25519,50ms-1pct-batch1,50.740,51.391,102.166,ok
44,X25519,x25519,50ms-1pct-batch1,50.244,51.394,101.675,ok
45,X25519,x25519,50ms-1pct-batch1,50.141,51.522,101.692,ok
46,X25519,x25519,50ms-1pct-batch1,50.128,51.402,101.562,ok
47,X25519,x25519,50ms-1pct-batch1,50.140,52.061,102.231,ok
48,X25519,x25519,50ms-1pct-batch1,50.317,51.422,101.772,ok
49,X25519,x25519,50ms-1pct-batch1,50.196,51.422,101.649,ok
50,X25519,x25519,50ms-1pct-batch1,1076.175,52.113,1128.320,ok
51,X25519,x25519,50ms-1pct-batch1,60.721,51.435,112.196,ok
52,X25519,x25519,50ms-1pct-batch1,50.254,51.514,101.817,ok
53,X25519,x25519,50ms-1pct-batch1,50.145,51.800,101.983,ok
54,X25519,x25519,50ms-1pct-batch1,50.155,51.623,101.814,ok
55,X25519,x25519,50ms-1pct-batch1,50.146,51.632,101.813,ok
56,X25519,x25519,50ms-1pct-batch1,50.303,51.379,101.724,ok
57,X25519,x25519,50ms-1pct-batch1,50.270,51.615,101.918,ok
58,X25519,x25519,50ms-1pct-batch1,50.176,52.485,102.689,ok
59,X25519,x25519,50ms-1pct-batch1,50.220,51.401,101.656,ok
60,X25519,x25519,50ms-1pct-batch1,50.385,51.820,102.241,ok
61,X25519,x25519,50ms-1pct-batch1,50.175,51.591,101.798,ok
62,X25519,x25519,50ms-1pct-batch1,50.155,51.547,101.731,ok
63,X25519,x25519,50ms-1pct-batch1,50.182,51.550,101.771,ok
64,X25519,x25519,50ms-1pct-batch1,50.216,51.303,101.551,ok
65,X25519,x25519,50ms-1pct-batch1,50.262,68.980,119.276,ok
66,X25519,x25519,50ms-1pct-batch1,50.176,52.087,102.346,ok
67,X25519,x25519,50ms-1pct-batch1,50.225,51.385,101.656,ok
68,X25519,x25519,50ms-1pct-batch1,50.307,51.965,102.303,ok
69,X25519,x25519,50ms-1pct-batch1,50.228,51.464,101.723,ok
70,X25519,x25519,50ms-1pct-batch1,50.297,318.369,368.699,ok
71,X25519,x25519,50ms-1pct-batch1,50.241,51.368,101.649,ok
72,X25519,x25519,50ms-1pct-batch1,50.230,51.402,101.663,ok
73,X25519,x25519,50ms-1pct-batch1,50.162,51.443,101.639,ok
74,X25519,x25519,50ms-1pct-batch1,50.151,51.590,101.774,ok
75,X25519,x25519,50ms-1pct-batch1,50.129,51.626,101.786,ok
76,X25519,x25519,50ms-1pct-batch1,50.133,51.637,101.802,ok
77,X25519,x25519,50ms-1pct-batch1,50.137,51.369,101.538,ok
78,X25519,x25519,50ms-1pct-batch1,50.230,51.395,101.655,ok
79,X25519,x25519,50ms-1pct-batch1,50.132,315.046,365.216,ok
80,X25519,x25519,50ms-1pct-batch1,50.166,51.465,101.660,ok
81,X25519,x25519,50ms-1pct-batch1,50.142,51.407,101.584,ok
82,X25519,x25519,50ms-1pct-batch1,50.146,51.407,101.588,ok
83,X25519,x25519,50ms-1pct-batch1,50.287,51.426,101.759,ok
84,X25519,x25519,50ms-1pct-batch1,1062.225,52.106,1114.363,ok
85,X25519,x25519,50ms-1pct-batch1,50.203,51.777,102.009,ok
86,X25519,x25519,50ms-1pct-batch1,50.222,51.671,101.929,ok
87,X25519,x25519,50ms-1pct-batch1,50.134,51.343,101.518,ok
88,X25519,x25519,50ms-1pct-batch1,50.184,51.613,101.830,ok
89,X25519,x25519,50ms-1pct-batch1,1065.918,52.158,1118.171,ok
90,X25519,x25519,50ms-1pct-batch1,50.289,51.595,101.923,ok
91,X25519,x25519,50ms-1pct-batch1,50.238,51.868,102.154,ok
92,X25519,x25519,50ms-1pct-batch1,50.246,52.277,102.564,ok
93,X25519,x25519,50ms-1pct-batch1,50.500,51.913,102.477,ok
94,X25519,x25519,50ms-1pct-batch1,50.370,52.734,103.141,ok
95,X25519,x25519,50ms-1pct-batch1,50.290,51.855,102.195,ok
96,X25519,x25519,50ms-1pct-batch1,50.326,52.387,102.763,ok
97,X25519,x25519,50ms-1pct-batch1,50.271,51.572,101.892,ok
98,X25519,x25519,50ms-1pct-batch1,50.153,52.894,103.082,ok
99,X25519,x25519,50ms-1pct-batch1,50.156,51.314,101.502,ok
100,X25519,x25519,50ms-1pct-batch1,50.204,51.446,101.685,ok
