run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.157,51.927,102.115,ok
2,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.357,51.655,102.040,ok
3,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.330,51.652,102.032,ok
4,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.214,51.782,102.037,ok
5,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.688,51.573,102.293,ok
6,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.129,51.442,101.599,ok
7,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.625,51.693,102.365,ok
8,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.210,51.527,101.802,ok
9,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.210,51.766,102.014,ok
10,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.584,51.687,102.319,ok
11,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.187,52.173,102.394,ok
12,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.204,51.709,101.946,ok
13,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.194,51.840,102.067,ok
14,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.144,51.488,101.665,ok
15,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.141,52.406,102.582,ok
16,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.190,51.594,101.821,ok
17,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.128,51.711,101.873,ok
18,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.237,51.796,102.085,ok
19,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.124,51.631,101.789,ok
20,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.174,51.718,101.927,ok
21,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.137,51.865,102.036,ok
22,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.243,52.728,103.005,ok
23,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.223,51.963,102.222,ok
24,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.259,51.963,102.294,ok
25,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.116,51.848,101.994,ok
26,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.299,51.651,102.019,ok
27,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.354,54.215,104.690,ok
28,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.292,52.744,103.071,ok
29,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.165,51.491,101.690,ok
30,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.165,51.828,102.029,ok
31,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.139,51.588,101.761,ok
32,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch2,50.122,52.015,102.166,ok
