condition,group,samples,successes,failures,negotiated_groups,tls_mean_ms,tls_median_ms,tls_sd_ms,tls_min_ms,tls_max_ms,tls_p95_ms,tls_p99_ms,tcp_mean_ms,tcp_median_ms,total_mean_ms,total_median_ms,total_p95_ms,total_p99_ms,total_max_ms
baseline,X25519,100,100,0,x25519,1.1242,1.0825,0.15,0.99,2.039,1.3303,1.6173,0.0625,0.046,1.1988,1.1535,1.4762,1.7141,2.118
baseline,X25519MLKEM768,100,100,0,X25519MLKEM768,1.2545,1.1995,0.1622,1.097,1.811,1.6853,1.7932,0.0642,0.045,1.3312,1.2595,1.7519,2.0685,2.514
50ms,X25519,100,100,0,x25519,51.563,51.473,0.2863,51.179,52.592,52.2594,52.5613,50.2215,50.1855,101.8221,101.6905,102.6807,103.0364,103.172
50ms,X25519MLKEM768,100,100,0,X25519MLKEM768,51.9122,51.744,0.5184,51.499,54.613,52.9581,54.1319,50.2515,50.214,102.2112,102.019,103.4742,104.3033,105.024
50ms-1pct,X25519,100,100,0,x25519,51.5765,51.445,0.3545,51.287,53.603,52.2552,52.7566,80.5496,50.1825,132.1673,101.697,102.7341,1120.2552,2127.699
50ms-1pct,X25519MLKEM768,100,100,0,X25519MLKEM768,56.0926,51.669,29.6602,51.47,304.414,53.3958,209.9205,80.4049,50.172,136.5414,101.876,128.9292,1106.2069,1116.884
