run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
78,X25519MLKEM768,X25519MLKEM768,50ms,50.326,51.691,102.060,ok
79,X25519MLKEM768,X25519MLKEM768,50ms,50.246,51.696,101.982,ok
80,X25519MLKEM768,X25519MLKEM768,50ms,50.209,51.506,101.750,ok
81,X25519MLKEM768,X25519MLKEM768,50ms,50.290,51.703,102.030,ok
82,X25519MLKEM768,X25519MLKEM768,50ms,50.127,51.970,102.128,ok
83,X25519MLKEM768,X25519MLKEM768,50ms,50.237,51.570,101.848,ok
84,X25519MLKEM768,X25519MLKEM768,50ms,50.147,51.699,101.879,ok
85,X25519MLKEM768,X25519MLKEM768,50ms,50.437,52.510,102.982,ok
86,X25519MLKEM768,X25519MLKEM768,50ms,50.258,51.903,102.202,ok
87,X25519MLKEM768,X25519MLKEM768,50ms,50.208,51.843,102.093,ok
88,X25519MLKEM768,X25519MLKEM768,50ms,50.142,51.793,101.978,ok
89,X25519MLKEM768,X25519MLKEM768,50ms,50.182,51.641,101.861,ok
90,X25519MLKEM768,X25519MLKEM768,50ms,50.386,51.791,102.225,ok
91,X25519MLKEM768,X25519MLKEM768,50ms,50.276,52.010,102.327,ok
92,X25519MLKEM768,X25519MLKEM768,50ms,50.173,52.005,102.214,ok
93,X25519MLKEM768,X25519MLKEM768,50ms,50.247,51.624,101.908,ok
94,X25519MLKEM768,X25519MLKEM768,50ms,50.189,51.760,101.984,ok
95,X25519MLKEM768,X25519MLKEM768,50ms,50.191,51.542,101.768,ok
96,X25519MLKEM768,X25519MLKEM768,50ms,50.186,51.895,102.123,ok
97,X25519MLKEM768,X25519MLKEM768,50ms,50.144,51.644,101.826,ok
98,X25519MLKEM768,X25519MLKEM768,50ms,50.322,52.083,102.441,ok
99,X25519MLKEM768,X25519MLKEM768,50ms,50.323,51.630,101.986,ok
100,X25519MLKEM768,X25519MLKEM768,50ms,50.151,51.621,101.808,ok
