run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
83,X25519MLKEM768,X25519MLKEM768,baseline,0.068,1.223,1.304,ok
84,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.187,1.241,ok
85,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.138,1.192,ok
86,X25519MLKEM768,X25519MLKEM768,baseline,0.037,1.097,1.141,ok
87,X25519MLKEM768,X25519MLKEM768,baseline,0.036,1.146,1.190,ok
88,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.100,1.150,ok
89,X25519MLKEM768,X25519MLKEM768,baseline,0.039,1.200,1.247,ok
90,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.134,1.183,ok
91,X25519MLKEM768,X25519MLKEM768,baseline,0.039,1.128,1.175,ok
92,X25519MLKEM768,X25519MLKEM768,baseline,0.054,1.685,1.749,ok
93,X25519MLKEM768,X25519MLKEM768,baseline,0.067,1.568,1.648,ok
94,X25519MLKEM768,X25519MLKEM768,baseline,0.048,1.247,1.309,ok
95,X25519MLKEM768,X25519MLKEM768,baseline,0.046,1.149,1.208,ok
96,X25519MLKEM768,X25519MLKEM768,baseline,0.034,1.154,1.197,ok
97,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.167,1.218,ok
98,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.207,1.265,ok
99,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.213,1.270,ok
100,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.214,1.267,ok
