group,samples,successes,failures,negotiated_groups,tls_mean_ms,tls_median_ms,tls_sd_ms,tls_min_ms,tls_max_ms,tls_p95_ms,tls_p99_ms,tcp_median_ms,total_median_ms
X25519,100,100,0,x25519,1.1242,1.0825,0.15,0.99,2.039,1.3303,1.6173,0.046,1.1535
X25519MLKEM768,100,100,0,X25519MLKEM768,1.2545,1.1995,0.1622,1.097,1.811,1.6853,1.7932,0.045,1.2595
